iter	Passed	Remaining
723	1445	551
724	1446	548
725	1447	546
726	1448	544
727	1450	541
728	1451	539
729	1452	537
730	1453	534
731	1454	532
732	1455	530
733	1456	527
734	1458	525
735	1459	523
736	1460	521
737	1461	518
738	1462	516
739	1464	514
740	1465	512
741	1466	509
742	1467	507
743	1468	505
744	1469	503
745	1470	500
746	1471	498
747	1473	496
748	1474	494
749	1475	491
750	1476	489
751	1477	487
752	1478	485
753	1479	482
754	1480	480
755	1482	478
756	1483	476
757	1484	473
758	1485	471
759	1486	469
760	1487	467
761	1489	465
762	1490	462
763	1491	460
764	1492	458
765	1493	456
766	1494	454
767	1495	451
768	1496	449
769	1498	447
770	1499	445
771	1500	443
772	1501	440
773	1502	438
774	1503	436
775	1505	434
776	1506	432
777	1507	430
778	1508	427
779	1509	425
780	1510	423
781	1511	421
782	1512	419
783	1514	417
784	1515	415
785	1516	412
786	1517	410
787	1518	408
788	1520	406
789	1521	404
790	1522	402
791	1523	400
792	1524	397
793	1525	395
794	1526	393
795	1528	391
796	1529	389
797	1530	387
798	1531	385
799	1533	383
800	1534	381
801	1535	379
802	1536	377
803	1537	374
804	1539	372
805	1540	370
806	1541	368
807	1542	366
808	1543	364
809	1544	362
810	1546	360
811	1547	358
812	1548	356
813	1549	354
814	1550	351
815	1551	349
816	1552	347
817	1553	345
818	1554	343
819	1556	341
820	1557	339
821	1558	337
822	1559	335
823	1560	333
824	1561	331
825	1562	329
826	1564	327
827	1565	325
828	1566	323
829	1567	321
830	1568	319
831	1569	316
832	1570	314
833	1572	312
834	1573	310
835	1574	308
836	1575	306
837	1576	304
838	1577	302
839	1578	300
840	1580	298
841	1581	296
842	1582	294
843	1583	292
844	1585	290
845	1586	288
846	1587	286
847	1588	284
848	1590	282
849	1591	280
850	1592	278
851	1594	276
852	1595	274
853	1596	272
854	1597	270
855	1599	269
856	1600	267
857	1601	265
858	1602	263
859	1603	261
860	1605	259
861	1606	257
862	1607	255
863	1608	253
864	1609	251
865	1610	249
866	1611	247
867	1612	245
868	1614	243
869	1615	241
870	1616	239
871	1617	237
872	1618	235
873	1620	233
874	1621	231
875	1622	229
876	1623	227
877	1624	225
878	1625	223
879	1626	221
880	1627	219
881	1629	217
882	1630	216
883	1631	214
884	1632	212
885	1633	210
886	1634	208
887	1636	206
888	1637	204
889	1638	202
890	1639	200
891	1640	198
892	1641	196
893	1642	194
894	1644	192
895	1645	190
896	1646	189
897	1647	187
898	1648	185
899	1649	183
900	1651	181
901	1652	179
902	1653	177
903	1654	175
904	1655	173
905	1656	171
906	1658	170
907	1659	168
908	1660	166
909	1661	164
910	1662	162
911	1663	160
912	1664	158
913	1665	156
914	1666	154
915	1668	152
916	1669	151
917	1670	149
918	1672	147
919	1673	145
920	1674	143
921	1675	141
922	1677	139
923	1678	138
924	1679	136
925	1680	134
926	1681	132
927	1682	130
928	1683	128
929	1685	126
930	1686	124
931	1687	123
932	1688	121
933	1689	119
934	1690	117
935	1691	115
936	1693	113
937	1694	111
938	1695	110
939	1696	108
940	1697	106
941	1698	104
942	1700	102
943	1701	100
944	1702	99
945	1703	97
946	1704	95
947	1705	93
948	1706	91
949	1708	89
950	1709	88
951	1710	86
952	1711	84
953	1712	82
954	1713	80
955	1714	78
956	1716	77
957	1717	75
958	1718	73
959	1719	71
960	1720	69
961	1721	68
962	1723	66
963	1724	64
964	1725	62
965	1726	60
966	1727	58
967	1728	57
968	1730	55
969	1731	53
970	1732	51
971	1733	49
972	1734	48
973	1735	46
974	1736	44
975	1738	42
976	1739	40
977	1740	39
978	1741	37
979	1742	35
980	1743	33
981	1745	31
982	1746	30
983	1747	28
984	1748	26
985	1749	24
986	1750	23
987	1751	21
988	1753	19
989	1754	17
990	1755	15
991	1756	14
992	1757	12
993	1758	10
994	1759	8
995	1761	7
996	1762	5
997	1763	3
998	1764	1
999	1765	0
